,Nombre del producto,Precio del producto,Sabor del producto
73,GALLETITAS RELLENAS SABOR MORANGO PIRAQUE 160GR,4.700,MORANGO
74,GALLETITAS RELLENAS SABOR BRIGADEIRO PIRAQUE 160GR,4.700,BRIGADEIRO
75,GALLETITAS RELLENAS LECHE MALTEADA PIRAQUE 160GR,4.550,OTROS
76,GALLETITA SABOR LIMON GRANOVITA GRANIX 140GR,7.850,LIMON
77,GALLETITA DE CHOCOLATE SABOR VAINILLA PIRAQUE 160GR,4.700,CHOCOLATE
78,GALLETITA DE ARROZ CON COBERTURA DE CHOCOLATE LESTELLO 75GR,20.000,ARROZ
79,GALLETITA SABOR VAINILLA GRANOVITA GRANIX 140GR,7.850,VAINILLA
80,GALLETITA CEREAL CRACKERS GRANIX 185GR,6.000,OTROS
81,GALLETITA DE ARROZ ORGANICA LESTELLO 110GR,18.500,ARROZ
82,GALLETITA DE GARBANZO LESTELLO 130GR,22.000,GARBANZO
83,GALLETITAS DE LINO GRANIX 185GR,3.500,LINO
84,GALLETITAS SABOR LECHE PIRAQUE 400GR,14.200,LECHE
85,GALLETITAS SALADAS CREAM INTEGRAL PIRAQUE 240GR,7.250,OTROS
86,GALLETITAS SALADAS SABOR QUESO PIRAQUE 100GR,5.650,QUESO
87,GALLETITA DE LENTEJA LESTELLO 130GR,22.000,LENTEJA
88,MINI COOKIES CON CHOCOLATE CHIPS CUETARA,18.900,CHOCOLATE
89,GALLETITA DE AGUA TRADICIONAL 100 GR MAZZEI PAQUETE,3.400,AGUA
90,GALLETITA MANA LECHE 36X145GR,4.000,OTROS
91,GALLETITA CRIOLLITA MAS 36X169GR,7.000,OTROS
92,GALLETITA MANA VAINILLA 36X145,4.000,OTROS
93,GALLETITA TIPPY TUTTI 80 GR,2.250,OTROS
94,GALLETITA TIPPY GRANDE 360 GR,7.300,OTROS
95,GALLETITA BAGLEY SURTIDO 400 GR,11.000,OTROS
96,GALLETITA SURTIDO LIA 400 GR,9.500,OTROS
97,GALLETITA TIPPY MINI 180 GR,4.400,OTROS
98,GALLETITA POLVORITA CHOCOL 80G,2.700,OTROS
99,GALLETITA TIPO MARIA VAINILLA 145GR MERIENDA PAQUETE,3.500,OTROS
100,GALLETITAS CACAO RELLENAS CON CREMA DE LECHE MINI SORRISI 100 GR SCHAR PLA,22.500,CREMA
101,GALLETITA CLASICA 200 GR CERALITAS PAQUETE,6.000,OTROS
102,GALLETITA COOKIES ORIGINAL BAUDUCCO 40GR,1.300,OTROS
103,GALLETITA SALVADO 202 GR CEREALITAS PAQUETE,6.000,OTROS
104,GALLETITAS DULCES SURTIDAS TERRABUSI VARIED 410G,10.000,OTROS
105,GALLETITA RELLENA SABOR DULCE DE LECHE BONO 126GR,4.850,DULCE
106,GALLETITAS DULCE SURTIDAS TERRABUSI VARIED 610G,14.000,OTROS
107,GALLETITA ANILLOS DE COCO BIANCA 280GR,4.500,COCO
108,GALLETITA ANILLOS DE CHOCOLATE BIANCA 280GR,4.500,CHOCOLATE
109,GALLETITA SALVADO DULCE FRUTIGRAN GRANIX 250GR,13.100,OTROS
110,GALLETITA SABOR AVENA Y PASAS FRUTIGRAN GRANIX 250GR,13.100,AVENA
111,WAFER SABOR MORANGO PIRAQUE 40GR,1.800,MORANGO
112,GALLETITA 150GR MINI OREO BSA,8.500,OTROS
113,GALLETITA SALVADO CEREALITAS 606GR TRIPACK,16.500,OTROS
114,GALLETITA OBSESION 85GR COSTA PLA,9.150,OTROS
115,WAFER SABOR CHOCOLATE CHOCOWAFER PIRAQUE 126GR,11.600,CHOCOLATE
116,GALLETITA DE GARBANZOS CON CHOCOLATE Y FRAMBUESA LESTELLO 36GR,22.000,GARBANZOS
117,ALFAJOR DE ARROZ CON DULCE DE LECHE LULEMUU 26gr,4.000,ARROZ
118,SCHAR PAN RUSTICO SIN GLUTEN 200 GR,24.000,OTROS
119,ALFAJOR D/ARROZ C/DULCE DE LECHE 3UN LULEMUU 51GR PLAST,12.000,LECHE
120,ALFAJOR DE ARROZ CON DULCE DE LECHE LULEMUU 3UNID,10.200,ARROZ
121,MAZZEI CEREAL HOJUELAS LIBRE DE GLUTEN 300 GR,15.000,GLUTEN
122,GALLETA DE ARROZ INTEGRAL LAS ACACIAS 130 GR,12.600,ARROZ
123,FIDEO DE ARROZ KOMEYA 250GR,25.800,ARROZ
124,LA MOLISANA FIDEO RIGATONI N?31 DE 500 GR,13.000,500
125,CEREAL DE MAZ CORN FLAKES DE 250 GR SCHAR CAJA,30.000,MAZ
126,LA MOLISANA FIDEO SPAGHETTI N?15 DE 500 GR,13.000,500
127,GALLETITAS MARIA 125GR SCHAR CAJA,22.500,OTROS
128,PREMEZCLA FARINA SIN GLUTEN SCHAR 1KG BSA,45.500,OTROS
129,SCHAR PAN MULTIGRANO 250 GR,29.500,OTROS
130,GALLETAS DE ARROZ INTEGRAL 110GR ARROZEN CUADRADAS CON SAL BSA,12.450,ARROZ
131,MAZZEI CEREAL AROS FRUTALES LIBRE DE GLUTEN 230 GR,14.500,GLUTEN
132,TIA HELENA JALEA DE DURAZNO 270 GR,12.700,DURAZNO
133,ANDRESA ROSQUITAS DE AVENA 250 GR,19.400,AVENA
134,ANDRESA CHIPA PIRU 250 GR,18.000,OTROS
135,PREMEZCLA PARA PIZZA LIBRE DE GLUTEN DOÑA PACHA 500GR,19.700,GLUTEN
136,OLVEBRA DOCE DE SOYA X 330 GR X 24,30.950,SOYA
137,PREMEZCLA PARA BIZCOCHUELO NATUZEN SIN TACC CAJA 450 GR,31.900,OTROS
138,GALLETAS DE ARROZ INTEGRAL 110GR ARROZEN CUADRADAS DULCES BSA,12.450,ARROZ
